Date	weight
13/07/2017	90
14/07/2017	89,8
15/07/2017	91,2
16/07/2017	90,6
17/07/2017	90,6
18/07/2017	88,4
19/07/2017	90,4
20/07/2017	90,4
24/07/2017	89,6
25/07/2017	90,2
26/07/2017	90,8
28/07/2017	90,4
31/07/2017	91
01/08/2017	90,2
02/08/2017	89,4
03/08/2017	90,2
04/08/2017	90,8
05/08/2017	91,4
07/08/2017	91,4
08/08/2017	88,4
09/08/2017	90
10/08/2017	90,6
11/08/2017	90,4
27/08/2017	91,6
28/08/2017	90,2
29/08/2017	89,8
30/08/2017	87,8
31/08/2017	89,4
01/09/2017	88,2
02/09/2017	88,4
04/09/2017	91,4
05/09/2017	88,6
06/09/2017	89,2
12/09/2017	90,6
13/09/2017	90,6
18/09/2017	91,6
19/09/2017	89
20/09/2017	89,2
21/09/2017	90
22/09/2017	90,2
25/09/2017	91,6
26/09/2017	88,2
27/09/2017	89,2
28/09/2017	90,2
29/09/2017	91,2
30/09/2017	89,6
01/10/2017	87,6
02/10/2017	88,6
03/10/2017	90,6
04/10/2017	90,8
09/10/2017	92,2
10/10/2017	90,8
11/10/2017	89,8
16/10/2017	91,4
17/10/2017	90
18/10/2017	90
19/10/2017	91
20/10/2017	92
23/10/2017	90,4
24/10/2017	90,4
25/10/2017	91
26/10/2017	91,4
30/10/2017	91,6
31/10/2017	91,2
06/11/2017	92,2
07/11/2017	90,6
08/11/2017	90,8
09/11/2017	92
13/11/2017	92,8
15/11/2017	91,8
16/11/2017	92,4
27/11/2017	93,4
28/11/2017	92,8
29/11/2017	93,4
30/11/2017	92,4
04/12/2017	93,6
05/12/2017	92,4
06/12/2017	93,4
11/12/2017	93
12/12/2017	91,6
13/12/2017	92,4
14/12/2017	91,8
15/12/2017	93
18/12/2017	93,8
19/12/2017	91,8
20/12/2017	93,2
21/12/2017	92,2
22/12/2017	93,8
26/12/2017	94,6
08/01/2018	94,2
09/01/2018	93,8
10/01/2018	94,2
13/01/2018	93,6
15/01/2018	94,4
16/01/2018	94
22/01/2018	93,4
23/01/2018	93,4
